,0
1146,9936
1147,1968
1148,34019
1149,4214
1150,831
1151,11879
1152,3515
1153,896
1154,31933
1155,32526
1156,1824
1157,11735
1158,6548
1159,1611
1160,420
1161,4901
1162,3014
1163,985
1164,2558
1165,163
1166,32189
1167,819
1168,15177
1169,16287
1170,20359
1171,33094
1172,6472
1173,56
1174,1916
1175,10604
1176,990
1177,10886
1178,351
1179,12117
1180,10721
1181,19157
1182,1224
1183,31043
1184,327
1185,19165
1186,8038
1187,31173
1188,28479
1189,19365
1190,3407
1191,31430
1192,6690
1193,190
1194,33045
1195,251
1196,34533
1197,811
1198,6489
1199,3015
1200,2214
1201,15839
1202,34566
1203,1293
1204,5072
1205,866
1206,9545
1207,9487
1208,25731
1209,7471
1210,3323
1211,33377
1212,13219
1213,23201
1214,1094
1215,3358
1216,23605
1217,24531
1218,34733
1219,405
1220,11749
1221,5393
1222,19703
1223,23421
1224,16706
1225,8408
1226,7465
1227,9396
1228,21497
1229,738
1230,1400
1231,34467
1232,14735
1233,23701
1234,16317
1235,10119
1236,32032
1237,1087
1238,3051
1239,2430
1240,1591
1241,69
1242,22
1243,8425
1244,485
1245,4713
1246,26359
1247,9260
1248,488
1249,34148
1250,942
1251,911
1252,892
1253,9170
1254,32866
1255,31758
1256,904
1257,6904
1258,397
1259,32152
1260,2099
1261,7662
1262,33222
1263,19319
1264,1335
1265,2595
1266,15335
1267,8676
1268,7661
1269,4012
1270,437
1271,9863
1272,6553
1273,34103
1274,11739
1275,417
1276,24261
1277,817
1278,10249
1279,2965
1280,17273
1281,1288
1282,6129
1283,86
1284,2116
1285,14669
1286,15377
1287,13245
1288,34796
1289,6361
1290,34427
1291,10294
1292,903
1293,2153
1294,25241
1295,1589
1296,5040
1297,11785
1298,23551
1299,19315
1300,393
1301,1706
1302,8918
1303,959
1304,10232
1305,79
1306,35301
1307,31812
1308,2235
1309,34525
1310,1696
1311,9479
1312,801
1313,19255
1314,3225
1315,34863
1316,15933
1317,34823
1318,368
1319,1691
1320,906
1321,18689
1322,28883
1323,35376
1324,14227
1325,9736
1326,1257
1327,16894
1328,31229
1329,6704
1330,12959
1331,6050
1332,1261
1333,22273
1334,33845
1335,3312
1336,1350
1337,11021
1338,887
1339,31318
1340,19645
1341,355
1342,15591
1343,10257
1344,924
1345,13161
1346,370
1347,1033
1348,10012
1349,1379
1350,563
1351,10465
1352,10080
1353,3972
1354,7728
1355,31339
1356,32380
1357,30544
1358,32366
1359,203
1360,34240
1361,5419
1362,30721
1363,8211
1364,29974
1365,1837
1366,33247
1367,508
1368,9774
1369,29755
1370,16033
1371,6
1372,16241
1373,589
1374,135
1375,18465
1376,6682
1377,9917
1378,19193
1379,6500
1380,22699
1381,2618
1382,8310
1383,21037
1384,1607
1385,6884
1386,1917
1387,33743
1388,108
1389,1561
1390,11597
1391,25183
1392,3050
1393,690
1394,15605
1395,91
1396,97
1397,2013
1398,9735
1399,14007
1400,17068
1401,6443
1402,4130
1403,3089
1404,20583
1405,23311
1406,27945
1407,928
1408,1231
1409,14813
1410,32561
1411,31756
1412,30901
1413,11837
1414,1128
1415,4081
1416,3076
1417,555
1418,27633
1419,11577
1420,15061
1421,31442
1422,179
1423,821
1424,27957
1425,11715
1426,13939
1427,12783
1428,4334
1429,30370
1430,19391
1431,8740
1432,3037
1433,1619
1434,33031
1435,1122
1436,9760
1437,9756
1438,2137
1439,34177
1440,31636
1441,11701
1442,8861
1443,5291
1444,1751
1445,658
1446,667
1447,153
1448,261
1449,31798
1450,292
1451,29715
1452,30276
1453,6385
1454,19151
1455,19647
1456,1894
1457,2961
1458,4798
1459,88
1460,384
1461,304
1462,20667
1463,1170
1464,21995
1465,411
1466,32872
1467,19775
1468,9289
1469,28891
1470,32023
1471,10153
1472,1157
1473,688
1474,3027
1475,117
1476,30583
1477,33487
1478,15439
1479,1216
1480,33814
1481,529
1482,9203
1483,1247
1484,17157
1485,429
1486,3210
1487,31588
1488,14527
1489,9055
1490,2951
1491,15051
1492,441
1493,2386
1494,116
1495,10177
1496,14117
1497,31804
1498,17827
1499,32869
1500,46
1501,17717
1502,881
1503,31988
1504,24991
1505,2156
1506,31405
1507,1104
1508,8909
1509,32981
1510,1398
1511,725
1512,24705
1513,3901
1514,21809
1515,456
1516,31964
1517,4551
1518,34028
1519,2194
1520,3166
1521,10098
1522,32801
1523,8634
1524,9988
1525,7540
1526,2508
1527,1744
1528,339
1529,2265
1530,95
1531,9776
1532,5177
1533,837
1534,13535
1535,2032
1536,6973
1537,9558
1538,1701
1539,24543
1540,1821
1541,52
1542,6381
1543,27911
1544,4188
1545,1679
1546,15487
1547,32379
1548,12419
1549,33581
1550,10906
1551,12317
1552,15841
1553,34501
1554,5420
1555,4437
1556,33091
1557,14515
1558,4181
1559,33760
1560,24719
1561,756
1562,18655
1563,6115
1564,2140
1565,158
1566,7669
1567,5296
1568,33051
1569,1111
1570,3884
1571,279
1572,553
1573,2207
1574,34904
1575,852
1576,440
1577,1118
1578,13863
1579,1810
1580,1471
1581,253
1582,29101
1583,205
1584,33129
1585,4705
1586,2148
1587,3833
1588,15583
1589,9062
1590,4224
1591,2152
1592,10017
1593,3744
1594,28405
1595,8291
1596,2363
1597,33730
1598,32948
1599,9919
1600,1249
1601,9587
1602,15687
1603,28673
1604,10578
1605,33433
1606,28155
